Standard error,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(0.203),(0.067),(0.134),(0.06),(8.176),(5.726),(8.274),(6.1)
95% CI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[-0.554, 0.242]","[-0.232, 0.031]","[-0.324, 0.203]","[-0.208, 0.028]","[1.215, 33.264]","[-23.634, -1.188]","[-1.769, 30.666]","[-25.669, -1.76]"
Standardised Mean Difference:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATT estimate,1.231,-0.541,0.652,-0.47,0.542,-0.036,1.015,-0.103,0.216,-0.102,0.311,-0.085,0.367,-0.246,0.425,-0.238,0.103,-0.08,0.198,-0.063,0.272,-0.258,0.331,-0.251,0.216,-0.102,0.311,-0.085,0.367,-0.246,0.425,-0.238,-0.323,-0.242,-0.064,-0.142,0.343,-0.427,0.246,-0.228
Standard error,(0.424),(0.27),(0.45),(0.253),(0.762),(0.253),(0.452),(0.24),(0.231),(0.171),(0.222),(0.166),(0.244),(0.151),(0.211),(0.146),(0.249),(0.193),(0.228),(0.17),(0.261),(0.168),(0.214),(0.153),(0.231),(0.171),(0.222),(0.166),(0.244),(0.151),(0.211),(0.146),(0.481),(0.206),(0.143),(0.101),(0.119),(0.313),(0.143),(0.101)
95% CI,"[0.172, 1.912]","[-1.094, -0.053]","[-0.227, 1.611]","[-0.979, 0.012]","[-0.908, 1.923]","[-0.53, 0.466]","[-0.042, 1.769]","[-0.574, 0.38]","[-0.238, 0.683]","[-0.431, 0.241]","[-0.121, 0.743]","[-0.411, 0.245]","[-0.076, 0.884]","[-0.529, 0.066]","[0.019, 0.843]","[-0.527, 0.051]","[-0.378, 0.614]","[-0.472, 0.286]","[-0.264, 0.637]","[-0.396, 0.282]","[-0.217, 0.819]","[-0.588, 0.08]","[-0.089, 0.753]","[-0.552, 0.052]","[-0.238, 0.683]","[-0.431, 0.241]","[-0.121, 0.743]","[-0.411, 0.245]","[-0.076, 0.884]","[-0.529, 0.066]","[0.019, 0.843]","[-0.527, 0.051]","[-1.643, 0.324]","[-0.721, 0.067]","[-0.344, 0.215]","[-0.34, 0.056]","[0.095, 0.546]","[-1.137, -0.017]","[-0.034, 0.527]","[-0.426, -0.029]"
Effect moderation:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Difference,-0.125,-0.125,-0.098,-0.098,-0.056,-0.056,-0.083,-0.083,-0.076,-0.076,-0.092,-0.092,-0.164,-0.164,-0.174,-0.174,-0.04,-0.04,-0.057,-0.057,-0.133,-0.133,-0.144,-0.144,-0.076,-0.076,-0.092,-0.092,-0.164,-0.164,-0.174,-0.174,0.055,0.055,-0.029,-0.029,-29.651,-29.651,-28.163,-28.163
Standard error,(0.039),(0.039),(0.038),(0.038),(0.05),(0.05),(0.041),(0.041),(0.065),(0.065),(0.062),(0.062),(0.074),(0.074),(0.066),(0.066),(0.067),(0.067),(0.059),(0.059),(0.077),(0.077),(0.064),(0.064),(0.065),(0.065),(0.062),(0.062),(0.074),(0.074),(0.066),(0.066),(0.214),(0.214),(0.146),(0.146),(10.011),(10.011),(10.8),(10.8)
95% CI,"[-0.201, -0.049]","[-0.201, -0.049]","[-0.173, -0.024]","[-0.173, -0.024]","[-0.155, 0.043]","[-0.155, 0.043]","[-0.163, -0.003]","[-0.163, -0.003]","[-0.202, 0.051]","[-0.202, 0.051]","[-0.213, 0.028]","[-0.213, 0.028]","[-0.308, -0.02]","[-0.308, -0.02]","[-0.304, -0.045]","[-0.304, -0.045]","[-0.172, 0.092]","[-0.172, 0.092]","[-0.171, 0.058]","[-0.171, 0.058]","[-0.284, 0.018]","[-0.284, 0.018]","[-0.269, -0.019]","[-0.269, -0.019]","[-0.202, 0.051]","[-0.202, 0.051]","[-0.213, 0.028]","[-0.213, 0.028]","[-0.308, -0.02]","[-0.308, -0.02]","[-0.304, -0.045]","[-0.304, -0.045]","[-0.364, 0.475]","[-0.364, 0.475]","[-0.316, 0.258]","[-0.316, 0.258]","[-49.273, -10.029]","[-49.273, -10.029]","[-49.331, -6.995]","[-49.331, -6.995]"
p-value,0.001,0.001,0.01,0.01,0.265,0.265,0.041,0.041,0.239,0.239,0.134,0.134,0.026,0.026,0.008,0.008,0.553,0.553,0.335,0.335,0.084,0.084,0.024,0.024,0.239,0.239,0.134,0.134,0.026,0.026,0.008,0.008,0.796,0.796,0.841,0.841,0.003,0.003,0.009,0.009
Number of Observations,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393,241,460,197,393
